SN,Province,RDHS,STATION
1,EASTERN,AMPARA,AMBAGAHAWELLA PMCU
2,EASTERN,AMPARA,DAMANA DH
3,EASTERN,AMPARA,DAMANA MOH
4,EASTERN,AMPARA,DEHIATTAKANDIYA BH
5,EASTERN,AMPARA,DEHIATTAKANDIYA MOH
6,EASTERN,AMPARA,HIMIDURAWA PMCU
7,EASTERN,AMPARA,KOKNAHARA PMCU
8,EASTERN,AMPARA,KOLOMANTHALAWA PMCU
9,EASTERN,AMPARA,LAHUGALA DH
10,EASTERN,AMPARA,LAHUGALA MOH
11,EASTERN,AMPARA,LIHINIYAGAMA PMCU
12,EASTERN,AMPARA,MADAWALALANDA PMCU
13,EASTERN,AMPARA,MAHAOYA BH
14,EASTERN,AMPARA,MAHA OYA MOH
15,EASTERN,AMPARA,MAWANAWELA PMCU
16,EASTERN,AMPARA,MANGALAGAMA PMCU
17,EASTERN,AMPARA,MUWANGALA PMCU
18,EASTERN,AMPARA,NAMALOYA PMCU
19,EASTERN,AMPARA,NAWAMADAGAMA PMCU
20,EASTERN,AMPARA,PANAMA DH
21,EASTERN,AMPARA,PANNALGAMA PMCU
22,EASTERN,AMPARA,PARAGAHAKALE PMCU
23,EASTERN,AMPARA,SADUNPURA PMCU
24,EASTERN,AMPARA,SENARATHPURA DH
25,EASTERN,AMPARA,TAMPITIYA PMCU
26,EASTERN,AMPARA,THOTTAMA DH
27,EASTERN,AMPARA,WADINAGALA DH
28,EASTERN,AMPARA,WEERAGODA PMCU
29,EASTERN,AMPARA,BOKKEBEDDA PMCU
30,EASTERN,AMPARA,GONAGALA PMCU
31,EASTERN,BATTICALOA,CHEDDIPALAYAM DH
32,EASTERN,BATTICALOA,KATHIRAVELY DH
33,EASTERN,BATTICALOA,MANDUR DH
34,EASTERN,BATTICALOA,MEERAVODAI DH
35,EASTERN,BATTICALOA,NAWALKADU DH
36,EASTERN,BATTICALOA,PALUGAMAM DH
37,EASTERN,BATTICALOA,THURAINEELAVANAI DH
38,EASTERN,BATTICALOA,KOKKODICHOLAI MAHILADITHIVU DH
39,EASTERN,BATTICALOA,MANDAPATHADY DH
40,EASTERN,BATTICALOA,KARADIYANARU DH
41,EASTERN,BATTICALOA,MAVADIVAMBU VANTHARAMOOLAI DH
42,EASTERN,BATTICALOA,VAKARAI DH
43,EASTERN,BATTICALOA,KIRAN MOH
44,EASTERN,BATTICALOA,PADDIPALLAI MOH
45,EASTERN,BATTICALOA,VAKARAI MOH
46,EASTERN,BATTICALOA,VAVUNATIVU MOH
47,EASTERN,BATTICALOA,VELLAVELLY MOH
48,EASTERN,BATTICALOA,KALUTHAWALAI PMCU
49,EASTERN,BATTICALOA,KANGEYANNODDI KANYANODAI PMCU
50,EASTERN,BATTICALOA,MAHILAVEDDUVAN PMCU
51,EASTERN,BATTICALOA,MAHILOOR PMCU
52,EASTERN,BATTICALOA,MANKERNEY PMCU
53,EASTERN,BATTICALOA,MEERAKENEY PMCU
54,EASTERN,BATTICALOA,PALAYADIVADDAI PMCU
55,EASTERN,BATTICALOA,RETHITHANAI PMCU
56,EASTERN,BATTICALOA,UNNICHCHI PMCU
57,EASTERN,BATTICALOA,KAWATTAMUNAI PMCU
58,EASTERN,BATTICALOA,PERIYAPULLUMAI PMCU
59,EASTERN,BATTICALOA,THIKKODAI PMCU
60,EASTERN,BATTICALOA,PANCHENAI PMCU
61,EASTERN,KALMUNAI,KALMUNAI CENTRAL CAMP DH
62,EASTERN,KALMUNAI,DEEGAWAPIYA DH
63,EASTERN,KALMUNAI,IRAKKAMAM ERAGAMA DH
64,EASTERN,KALMUNAI,OLUVIL DH
65,EASTERN,KALMUNAI,IRAKKAMAM MOH
66,EASTERN,KALMUNAI,NAVITHANVELI MOH
67,EASTERN,KALMUNAI,POTTUVIL BH
68,EASTERN,KALMUNAI,THIRUKKOVIL DH
69,EASTERN,KALMUNAI,ALAMKULAM PMCU
70,EASTERN,KALMUNAI,ANNAMALAI DH
71,EASTERN,KALMUNAI,CHENAIKUDIRUPPU PMCU
72,EASTERN,KALMUNAI,KOMARI PMCU & MH
73,EASTERN,KALMUNAI,MALWATTA PMCU & MH
74,EASTERN,KALMUNAI,MUHAMATHIYAPURAM PMCU
75,EASTERN,KALMUNAI,PANANKADU DH
76,EASTERN,KALMUNAI,PERIYANEELAWANAI PMCU
77,EASTERN,KALMUNAI,SENNELKIRAMAM PMCU
78,EASTERN,KALMUNAI,SORIKALMUNAI PMCU
79,EASTERN,KALMUNAI,ULLAI PMCU
80,EASTERN,KALMUNAI,KALMUNAI RDHS (ONLY MO RELEIF POST)
81,EASTERN,TRINCOMALEE,EACHCHILAMPATHTHU DH
82,EASTERN,TRINCOMALEE,GOMARANKADAWELA DH
83,EASTERN,TRINCOMALEE,KILIVETTY DH
84,EASTERN,TRINCOMALEE,KUCHCHAVELI DH
85,EASTERN,TRINCOMALEE,MAHADIVULWEWA DH
86,EASTERN,TRINCOMALEE,PADAVISIRIPURA DH
87,EASTERN,TRINCOMALEE,SAMPOOR DH
88,EASTERN,TRINCOMALEE,SERUNUWARA DH
89,EASTERN,TRINCOMALEE,SERUWILA DH
90,EASTERN,TRINCOMALEE,THAMPALAGAMAM DH
91,EASTERN,TRINCOMALEE,EACHCHILAMPATHTHU MOH
92,EASTERN,TRINCOMALEE,GOMARANKADAWELA MOH
93,EASTERN,TRINCOMALEE,KUCHCHAVELI MOH
94,EASTERN,TRINCOMALEE,PADAVISRIPURA MOH
95,EASTERN,TRINCOMALEE,SERUWILA MOH
96,EASTERN,TRINCOMALEE,THAMPALAGAMAM MOH
97,EASTERN,TRINCOMALEE,BATTUKACHCHIYA PMCU
98,EASTERN,TRINCOMALEE,CHENAIYOOR PMCU
99,EASTERN,TRINCOMALEE,GANTALAWA PMCU
100,EASTERN,TRINCOMALEE,KAKKAMUNAI PMCU
101,EASTERN,TRINCOMALEE,KAPPALTHURAI PMCU
102,EASTERN,TRINCOMALEE,KUMBURUPITTY PMCU
103,EASTERN,TRINCOMALEE,MANALCHENAI PMCU
104,EASTERN,TRINCOMALEE,MORAWEWA PMCU
105,EASTERN,TRINCOMALEE,MULLIPOTHANAI PMCU
106,EASTERN,TRINCOMALEE,PATTALIPURAM PMCU
107,EASTERN,TRINCOMALEE,THIRIYAI PMCU
108,EASTERN,TRINCOMALEE,WAN ELA DH
109,EASTERN,TRINCOMALEE,THOPPUR DH
